token	DF	postings
1	2	826, 1633
10	2	0, 2
101	1	1
10th	1	1420
11	2	566, 1058
12	1	3
13	2	4, 143
13th	2	624, 1421
17	1	1355
1900	1	5
1914	1	1840
1915	1	1610
1920	1	1658
1922	1	1190
1925	1	1703
1926	1	1561
1927	1	368
1928	1	1807
1929	1	1089
1930	2	990, 1461
1931	3	507, 612, 1406
1932	1	1244
1933	2	519, 833
1934	1	160
1935	2	331, 1605
1936	1	292
1937	2	903, 1322
1939	2	1354, 1810
1940	3	1118, 1659, 1741
1941	2	1539, 1811
1942	3	342, 1770, 1848
1944	2	711, 866
1945	1	470
1946	1	1051
1947	1	1128
1948	3	679, 1066, 1725
1949	1	1233
1950	3	294, 376, 575
1951	2	84, 1148
1952	2	888, 996
1953	1	1107
1954	1	653
1955	1	1366
1956	3	122, 721, 1774
1957	2	1521, 1973
1958	2	511, 1551
1959	2	811, 1674
1960	1	1058
1961	1	1696
1962	2	328, 1655
1963	3	359, 1587, 1723
1964	3	45, 567, 588
1965	1	439
1966	4	184, 668, 773, 836
1967	1	1613
1968	2	1205, 1717
1969	3	500, 1863, 1882
1970	2	76, 1032
1971	2	1278, 1373
1972	1	1710
1973	3	1191, 1314, 1803
1974	3	1328, 1559, 1768
1978	4	400, 704, 924, 1640
1979	4	687, 1363, 1601, 1841
1980	4	152, 624, 649, 1137
1981	2	150, 631
1982	2	1781, 1786
1983	1	1245
1984	3	6, 599, 1615
1985	5	85, 348, 445, 1396, 1972
1986	4	393, 939, 1325, 1669
1987	2	938, 1926
1988	5	81, 372, 1427, 1453, 1794
1989	7	102, 185, 650, 712, 1187, 1616, 1634
1990	4	82, 474, 642, 1179
1991	4	196, 576, 760, 1077
1992	4	78, 1061, 1249, 1476
1993	4	91, 577, 1356, 1546
1994	3	894, 1045, 1342
1995	9	168, 622, 702, 840, 908, 1122, 1178, 1255, 1720
1996	8	1, 295, 793, 948, 1402, 1432, 1598, 1890
1997	9	123, 583, 598, 713, 1079, 1530, 1722, 1846, 1919
1998	6	145, 485, 1323, 1445, 1889, 1953
1999	5	155, 651, 740, 1675, 1833
2	22	12, 112, 153, 418, 477, 506, 670, 799, 827, 877, 921, 1132, 1218, 1254, 1301, 1346, 1614, 1738, 1779, 1871, 1932, 1995
20	2	7, 1547
2000	10	256, 296, 367, 377, 455, 657, 912, 1279, 1700, 1873
2001	12	205, 427, 504, 698, 701, 1043, 1083, 1398, 1542, 1593, 1690, 1838
2002	6	317, 369, 382, 639, 1478, 1507
2003	9	366, 539, 731, 983, 1094, 1108, 1599, 1729, 1902
2004	12	147, 385, 443, 586, 730, 803, 933, 1412, 1555, 1564, 1704, 1796
2005	3	834, 1609, 1928
2006	2	338, 456
21	2	8, 183
25th	1	10
2nd	1	200
3	4	374, 729, 1248, 1347
30	1	4
3000	1	997
4	1	878
4th	1	201
50	1	154
51st	1	1422
54	1	15
55	1	16
571	1	1897
60	1	657
61	1	17
66	1	302
6th	1	1423
7	1	1192
77	1	77
7th	1	1424
8	2	18, 158
80	1	147
8th	1	1429
9	1	566
96	1	1054
a	61	20, 21, 22, 24, 25, 26, 27, 28, 29, 30, 32, 33, 34, 35, 37, 38, 39, 40, 41, 42, 43, 45, 46, 48, 49, 51, 52, 120, 371, 406, 407, 456, 478, 498, 600, 717, 748, 766, 790, 847, 856, 907, 928, 1050, 1068, 1069, 1070, 1073, 1170, 1225, 1226, 1249, 1276, 1372, 1467, 1635, 1834, 1845, 1849, 1948, 1971
abbott	1	53
aboard	1	454
abominable	1	1425
about	5	2, 54, 55, 92, 1820
above	1	56
absence	1	57
abyss	1	1426
according	1	1575
accused	1	1427
across	1	1429
act	1	1310
actress	1	969
actually	1	906
adam	1	431
adams	1	59
adaptation	1	60
addicted	1	62
adele	1	1761
adventure	2	1102, 1710
adventures	7	63, 1428, 1429, 1430, 1431, 1432, 1434
adverse	1	136
advertisement	1	6
advocate	1	471
affairs	1	1435
affliction	1	64
africa	1	1085
african	1	1436
after	5	65, 66, 67, 1516, 1841
afternoon	2	964, 1226
again	3	469, 654, 828
against	1	68
agent	1	69
agreement	1	636
aguirre	1	70
aim	1	71
air	3	72, 73, 404
airheads	1	74
airplane	1	75
airport	2	76, 77
alabama	1	1397
aladdin	2	78, 79
alex	1	756
alexander	1	570
alexandra	1	1038
alfredo	1	289
ali	1	80
alice	4	81, 82, 84, 85
alien	3	87, 88, 89
aliens	1	90
alive	1	91
all	6	92, 94, 96, 97, 126, 1292
allan	1	98
allison	1	705
allows	1	96
almighty	1	299
almost	1	99
alone	2	728, 729
alphaville	1	101
also	1	680
always	2	102, 1547
am	3	103, 747, 748
amadeus	1	104
amarcord	1	105
america	5	72, 106, 401, 761, 1068
american	10	109, 110, 112, 113, 116, 117, 118, 1323, 1437, 1938
americas	1	114
amigos	1	1831
amores	1	115
an	5	116, 117, 118, 119, 120
anarchists	1	121
anastasia	2	122, 123
ance	1	1226
and	75	37, 38, 48, 53, 79, 98, 120, 126, 133, 137, 196, 198, 260, 314, 398, 409, 437, 449, 454, 507, 510, 570, 573, 676, 689, 690, 691, 692, 693, 694, 723, 737, 738, 745, 776, 797, 800, 810, 828, 829, 855, 897, 910, 950, 1004, 1038, 1061, 1073, 1074, 1192, 1205, 1206, 1233, 1264, 1273, 1312, 1320, 1322, 1408, 1431, 1449, 1454, 1542, 1563, 1572, 1604, 1629, 1716, 1720, 1767, 1828, 1834, 1843, 1844, 1992
angel	1	127
angels	6	128, 129, 130, 362, 381, 558
angry	1	1438
angus	1	131
animal	1	132
anna	1	133
anne	1	134
annie	1	765
another	2	475, 1782
anthony	1	136
antoine	1	137
antz	1	139
any	2	140, 641
anything	1	141
anywhere	1	142
apartment	1	1439
apes	2	191, 213
apollo	1	143
apostle	1	1440
apprenticeship	1	1441
april	2	544, 1114
apu	1	1442
aquatic	1	1628
arabian	1	1891
arc	1	1698
are	1	472
aristocats	1	1443
arizona	1	1159
ark	2	1156, 1220
arm	1	1654
armageddon	1	145
army	1	146
around	2	147, 1749
arrow	2	294, 295
arrowsmith	1	148
art	1	1057
arthur	2	150, 831
artificial	1	32
as	1	151
asphalt	1	1444
assurance	1	1510
at	11	16, 40, 41, 170, 278, 334, 546, 863, 1208, 1382, 1958
atlantic	1	152
ator	1	153
attack	1	154
attraction	2	574, 867
audition	1	155
august	2	1773, 1801
austin	1	156
avengers	1	1445
awake	1	1953
awakenings	1	157
away	4	279, 597, 1348, 1946
awful	1	1446
azam	1	1005
azkaban	1	694
b	3	351, 1008, 1224
babe	1	159
babes	1	160
babettes	1	161
baby	4	162, 163, 290, 1834
babysitters	1	499
babysitting	1	63
back	6	164, 165, 166, 398, 497, 800
backdraft	1	167
bad	10	168, 169, 170, 171, 172, 173, 1447, 1448, 1449, 1572
badlands	1	174
baghdad	1	895
baker	1	1538
ball	2	175, 984
ballou	1	341
ballroom	1	1375
balls	1	676
bamba	1	848
bambi	1	176
bamboozled	1	177
bande	1	178
bandini	1	179
bandit	1	1320
bandits	2	180, 1842
banks	1	69
banzai	1	1429
baron	1	1428
barrels	1	897
barry	1	181
basic	1	182
basterds	1	778
bat	1	183
batman	6	184, 185, 186, 187, 188, 189
battle	2	191, 192
be	2	1568, 1848
bear	1	297
bears	3	171, 1447, 1494
beast	5	196, 210, 1275, 1453, 1454
beat	1	193
beautician	1	1454
beautiful	3	195, 884, 1449
beauty	1	196
became	1	1604
becky	1	197
becomes	1	453
bedford	1	1455
bedknobs	1	198
bedroom	1	767
beethoven	1	199
beethovens	2	200, 201
beetlejuice	1	202
before	3	204, 459, 1682
begins	1	186
behind	2	205, 1539
being	1	208
believe	1	992
belleville	1	1789
bells	1	1456
belly	1	210
below	1	583
beneath	3	213, 787, 1941
bengal	1	1635
benjamin	1	1137
benny	1	214
bernadette	1	1757
best	2	1012, 1457
better	4	20, 215, 216, 977
betty	1	1056
between	1	48
beverly	2	217, 218
beyond	2	219, 922
bhai	1	1008
bicycle	1	221
big	16	222, 224, 225, 226, 227, 228, 229, 1013, 1102, 1115, 1458, 1459, 1460, 1461, 1463, 1464
bill	3	230, 826, 827
billy	2	231, 232
bird	1	1395
birds	2	601, 1466
birth	1	1467
bishops	1	1468
bites	1	1168
bitter	1	1469
black	12	170, 234, 235, 236, 237, 420, 953, 960, 961, 1470, 1471, 1472
blackboard	1	238
blacksmith	1	239
blade	2	240, 241
blandings	1	998
blank	1	242
blazing	1	244
blew	1	732
blimp	1	1629
blob	1	1473
blondes	1	637
blood	6	245, 246, 247, 331, 691, 1817
bloodsport	1	248
blow	1	249
blowup	1	250
blue	10	42, 251, 252, 253, 254, 438, 1104, 1474, 1475, 1843
blues	3	256, 854, 977
bob	1	800
bobby	1	1257
body	2	257, 781
bodyguard	1	1476
bogus	1	230
boiled	1	684
boiler	1	258
bombay	1	259
bonnie	1	260
book	3	1212, 1613, 1614
boondock	1	1477
boot	1	440
bored	1	263
bottle	1	264
boulevard	1	1383
bound	2	265, 266
bourgeoisie	1	1524
bourne	2	1478, 1479
box	4	1011, 1089, 1480, 1677
boxing	1	267
boy	6	162, 301, 316, 573, 658, 1857
boys	9	168, 169, 268, 269, 270, 602, 1481, 1538, 1641
braindead	1	272
bram	1	273
branded	1	274
bravo	1	1185
brazil	2	276, 1481
breaker	1	277
breakfast	2	278, 1483
breaking	1	279
brew	1	1370
brian	1	987
bride	5	281, 282, 575, 576, 1713
brides	1	1269
bridge	3	21, 1004, 1484
brief	1	283
brigham	1	284
bright	2	285, 286
bring	2	288, 289
bringing	1	290
britain	1	192
broadway	3	292, 308, 1485
broken	2	294, 295
broomsticks	1	198
bros	1	1385
brother	3	296, 297, 1057
brotherhood	1	298
brothers	3	256, 1269, 1892
brown	3	794, 1151, 1486
bruce	1	299
bubba	1	300
bubble	1	301
buck	1	1900
buckaroo	1	1429
bucks	1	1888
buddy	1	1487
buellers	1	578
buffalo	1	302
buffy	1	303
bug	1	1644
bugs	1	22
bugsy	1	305
builds	1	998
bull	1	306
bulletproof	1	307
bullets	1	308
bullitt	1	309
bulworth	1	311
bunny	1	1486
burbs	1	1488
burger	1	659
burning	1	976
bus	1	312
business	2	1186, 1946
but	3	142, 1046, 1050
butch	1	314
butterfield	1	158
butterflies	1	772
butterfly	1	917
bwana	1	323
by	5	366, 517, 1009, 1048, 1358
bye	1	660
cabin	2	316, 317
cabinet	1	1490
cable	1	1491
cadavra	1	1642
caddyshack	2	318, 319
caged	1	320
caine	1	1492
cake	1	868
calendar	1	321
caligari	1	1490
call	2	323, 1821
called	1	27
came	1	787
camel	1	1764
campobello	1	1382
can	3	344, 704, 1984
candidate	1	1655
candles	1	1311
cannibal	2	324, 325
cannonball	2	326, 1493
cant	1	327
cape	1	328
capricorn	1	330
captain	2	331, 1312
card	1	672
care	2	432, 1494
carla	1	409
carlitos	1	332
carmichael	1	1935
carnal	1	333
carrie	1	1906
carry	1	334
cars	1	335
carter	2	640, 805
casablanca	1	336
case	1	1694
casino	2	337, 338
casshern	1	339
cassidy	1	314
castle	2	688, 698
cat	3	234, 341, 342
catch	3	344, 345, 1849
cats	3	346, 347, 348
catwoman	1	349
cauldron	1	1470
cause	1	1170
caveman	1	350
cecil	1	351
cell	1	1495
cellini	1	1435
cellular	1	352
celtic	1	353
center	1	811
century	1	1887
chain	2	748, 1778
chainsaw	1	1779
chamber	1	689
chameli	1	354
champ	1	1496
change	1	356
channels	1	1404
chaplin	1	357
character	1	358
charade	1	359
chariots	1	360
charley	1	361
charlie	1	1151
charlies	1	362
charm	1	1524
chasing	1	365
cheaper	1	366
check	1	242
cherry	1	367
chicago	3	368, 369, 763
chicken	1	370
chicks	1	1949
child	1	1138
childhood	1	791
children	2	371, 1500
childs	2	372, 374
chill	1	1458
china	2	229, 1497
chocolate	1	1961
christ	1	1699
christmas	2	24, 1682
chronicles	1	1498
cid	1	537
cinderella	2	25, 376
circuit	1	1297
circus	2	377, 1499
citizen	1	378
city	7	98, 152, 379, 380, 381, 382, 1500
claudet	1	1752
claudine	1	384
claus	1	1235
clause	2	1737, 1738
clean	1	385
clementine	1	1015
clerks	1	386
cliffhanger	1	387
clockwise	1	388
close	1	389
club	1	1483
clyde	1	260
coast	1	1671
cobb	1	392
cobra	1	393
cocoon	1	395
cody	1	69
cold	2	396, 756
colette	1	137
collateral	1	397
colonel	1	1629
color	1	1501
come	5	398, 399, 715, 861, 1940
comes	1	716
coming	2	400, 401
commandments	1	1774
commando	2	402, 1376
commissar	1	403
company	1	1065
con	1	404
conan	1	405
condor	1	1832
confessions	2	406, 407
confidential	1	847
configuration	1	1683
confused	1	449
congo	1	408
connection	1	1556
connie	1	409
conqueror	2	1103, 1502
conquers	1	1235
conspiracy	1	410
contact	1	411
convenience	1	334
conversation	1	1504
cool	2	412, 413
cooler	1	1505
cop	4	217, 218, 414, 830
coquette	1	415
corner	1	1749
coronets	1	829
correspondent	1	605
corruptor	1	1506
costello	1	53
could	1	1945
count	2	1507, 1984
countdown	1	1544
country	2	1181, 1459
county	1	1081
courage	1	416
court	1	1508
cousin	1	417
cousine	1	417
cowboy	1	518
crackers	1	132
cradle	2	418, 419
cravens	1	1936
crazy	2	675, 1568
creature	1	420
creatures	1	1604
creepshow	1	421
creole	1	832
crimson	2	1509, 1510
cristo	1	1507
crossfire	1	424
crossing	2	425, 970
crow	1	1511
crowd	1	1512
cruel	1	426
crusade	1	776
crush	2	251, 427
cry	1	268
crystal	1	1515
cube	1	428
cuckoo	1	1759
curie	1	923
cut	1	1135
cuts	1	1298
cutthroat	1	429
cyclo	1	430
d	1	431
daddy	1	432
daisy	1	515
daleks	1	510
dalmatians	2	1, 1074
dam	1	980
dame	1	1598
dames	1	433
dance	1	347
dancer	1	434
dances	1	435
dancing	1	481
dangerfield	1	1210
dangerous	1	406
dangerously	1	1815
darby	1	437
dark	4	45, 434, 438, 1515
darkness	3	146, 1136, 1563
darko	1	495
darling	2	439, 1015
darlings	1	891
das	2	440, 441
daughter	2	586, 1222
dawn	6	442, 443, 459, 625, 1171, 1998
day	14	30, 170, 432, 444, 445, 475, 578, 674, 775, 856, 1075, 1423, 1516, 1517
daylight	1	446
daylights	1	1636
days	7	16, 134, 147, 447, 448, 1270, 1832
dazed	1	449
de	1	450
dead	16	216, 442, 443, 445, 451, 452, 499, 516, 559, 859, 898, 1290, 1390, 1518, 1536, 1720
deadly	1	839
deal	1	224
dean	1	398
death	12	38, 298, 453, 454, 455, 456, 534, 840, 910, 941, 1009, 1629
deathtrap	1	457
deceit	1	454
decision	1	459
deeds	2	999, 1000
deep	2	460, 1216
deeply	1	1884
deer	1	1519
defence	1	1646
defiant	1	1520
delancey	1	425
delicatessen	1	462
delilah	1	1233
delinquents	1	1521
deliverance	1	463
demented	1	351
demolition	1	464
der	1	465
des	1	939
desert	1	1331
desire	1	1966
desk	1	466
destination	2	467, 468
destiny	2	454, 1001
destroyer	1	405
destry	1	469
detective	1	1579
detour	1	470
devil	1	1182
devils	1	471
diaboliques	1	875
diamonds	1	472
diaries	2	1672, 1714
dick	1	474
dictator	1	1577
did	2	750, 754
die	7	475, 476, 477, 478, 680, 1204, 1709
dies	1	1858
dilwale	1	479
dime	1	398
dimension	1	1429
dinosaur	1	480
dirty	6	130, 481, 482, 484, 485, 1523
disaster	1	595
discreet	1	1524
disguise	1	1662
disney	1	78
disturbance	1	494
divine	1	486
divorce	1	487
divorcee	2	1525, 1560
do	3	488, 1419, 1944
doctor	2	489, 490
does	1	992
dog	1	1920
dogma	1	493
dogs	4	94, 346, 1177, 1373
dolittle	2	489, 506
doll	1	163
dollars	2	28, 600
domestic	1	494
done	1	1291
donnie	1	495
donovans	1	496
dont	7	268, 347, 451, 497, 498, 499, 1823
doo	1	1252
door	2	1353, 1564
doppelg	1	500
dorado	1	1732
dororo	1	501
double	3	26, 502, 1526
doubt	1	1276
douce	1	784
down	5	235, 503, 504, 583, 1728
dozen	2	366, 1523
dr	7	506, 507, 508, 509, 510, 1425, 1490
dracula	3	273, 511, 1328
dragon	1	1110
dragonheart	1	512
dragons	2	525, 1549
dragonslayer	1	513
drama	1	407
dream	1	998
dreamers	1	1528
dreams	3	579, 1396, 1940
drive	1	1007
driver	1	1413
driving	1	515
drop	1	516
drowning	1	517
drugstore	1	518
drunks	1	1143
duck	2	519, 520
duct	1	521
duddy	1	1441
duel	1	522
dukes	1	1529
dulhania	1	479
dumbo	1	523
dune	1	524
dungeons	1	525
durham	1	306
dusk	1	625
dwarfs	1	1322
dynamite	1	1026
e	5	71, 527, 851, 1005, 1845
each	1	1851
eagle	2	785, 1673
eagles	1	1808
earth	7	7, 504, 811, 1231, 1517, 1570, 1584
east	1	528
easter	1	529
easy	2	530, 958
eater	1	1719
eating	2	531, 1943
ed	1	532
eden	2	528, 533
edge	1	1530
edtv	1	526
education	2	263, 534
edward	1	535
egg	1	128
egypt	1	1711
eight	2	536, 685
einstein	1	1987
el	2	537, 1732
element	1	1543
elephant	2	539, 1531
elf	1	540
elizabeth	2	541, 1716
elliot	1	231
elmo	1	1430
elmos	1	1352
else	1	141
emile	1	1630
emperor	1	1618
emperors	1	1532
empire	3	542, 543, 1540
enchanted	1	544
encounter	1	283
encounters	1	389
end	1	1904
ending	1	727
enemy	3	205, 546, 1718
english	3	807, 1533, 1893
enigma	1	1534
enough	2	547, 1812
entrapment	1	548
equilibrium	1	549
eraser	1	550
escaflowne	1	551
escape	2	553, 1578
essex	1	1716
eternal	1	554
eternity	1	626
eve	1	92
evil	4	558, 559, 1536, 1869
evolution	1	560
excalibur	1	561
exhale	1	1922
existenz	1	562
exit	1	563
exorcist	1	1537
expendable	1	1824
experiment	2	441, 1705
express	3	454, 967, 1285
extra	1	527
extremely	1	119
eye	1	348
eyed	1	1071
eyes	1	1079
f	1	564
fabulous	1	1538
face	2	565, 1539
faces	1	130
factory	2	1554, 1961
fahrenheit	1	566
fail	1	567
fall	3	873, 1304, 1540
family	3	809, 1403, 1541
famous	1	99
fanboys	1	569
fanny	1	570
far	1	21
fargo	1	571
fast	2	12, 1542
faster	1	572
fat	3	225, 573, 1013
fatal	1	574
father	3	575, 576, 1946
favorite	1	1016
fear	3	328, 1377, 1797
fearless	1	577
feast	2	161, 245
fence	1	1149
ferris	1	578
fever	3	317, 812, 1237
few	1	600
