token	DF	postings
pimlico	1	1096
pinchcliffe	1	1116
pink	1	1133
pinocchio	2	1118, 1432
pirate	1	1472
pit	1	1756
pizza	1	1022
place	2	766, 1336
places	1	1872
plaid	1	451
planet	5	191, 213, 604, 1438, 1876
planner	1	1799
platoon	1	1119
play	4	372, 374, 607, 1120
player	1	1708
pleasantville	1	1121
pocahontas	1	1122
poets	1	452
point	1	1123
poko	1	1125
pollock	1	1124
pom	1	1125
pool	1	1401
pope	1	1709
poppins	1	945
porco	1	1126
pork	1	663
poseidon	1	1710
possessed	1	1128
potter	6	689, 690, 691, 692, 693, 694
powaqqatsi	1	1129
powers	1	156
practical	1	1130
predator	3	89, 1131, 1132
prefer	1	637
president	2	456, 1437
pretty	1	1133
pride	1	353
prime	1	1135
prince	4	691, 1136, 1711, 1712
princess	2	1713, 1714
prisoner	1	694
private	4	1137, 1240, 1715, 1716
prix	2	668, 1116
problem	1	1138
producers	1	1717
professor	1	1686
proof	1	1149
proper	1	911
proposal	1	774
prosecution	1	1973
psycho	1	112
public	1	1718
pulp	1	1140
pumping	1	1141
pumpkin	1	1719
pumpkinhead	1	1142
punch	1	1143
punctured	1	1840
purple	1	1144
pussycat	1	572
pussycats	1	810
python	1	1145
pythons	2	987, 988
q	1	806
quatermain	1	98
queen	3	407, 946, 1436
quest	1	630
quick	1	1720
quiet	1	1721
quiz	1	1147
quo	1	1148
rabbit	3	1149, 1150, 1951
race	4	455, 1151, 1164, 1580
radio	1	1153
rae	1	1047
ragtime	1	1155
raiders	1	1156
raids	1	654
railroad	1	1828
rain	2	1144, 1157
rainmaker	1	1722
raise	1	1158
raising	2	1159, 1160
ran	1	1161
ranch	1	959
range	1	730
rangeela	1	1162
raoul	1	531
rashomon	1	1163
rat	1	1164
raven	1	1723
ravenous	1	1165
ray	1	1166
real	1	1167
reality	1	1168
rear	1	1169
rebel	1	1170
recall	1	1868
records	1	542
red	5	1158, 1171, 1438, 1464, 1725
redemption	1	1747
reds	1	1173
reef	1	496
reign	1	1174
reloaded	1	1664
remember	2	46, 51
replacements	1	1726
repo	1	1175
report	1	972
rescuers	2	1727, 1728
reservoir	1	1177
restoration	1	1178
resurrection	1	88
return	3	1123, 1729, 1730
returns	3	188, 1389, 1676
reunion	1	1206
revenge	2	129, 1179
reversal	1	1180
revolutions	1	1665
rhine	1	1929
rib	1	59
riddick	1	1498
ride	2	1181, 1182
rider	3	530, 1088, 1939
rides	1	469
ridicule	1	1183
right	3	488, 927, 1731
ring	1	1184
rings	1	1640
rio	2	1185, 1418
rique	1	980
risky	1	1186
river	1	1484
rless	1	1991
road	4	1187, 1188, 1732, 1836
rob	1	1189
robbery	1	1581
robin	5	189, 1190, 1191, 1192, 1434
robinson	1	1403
robocop	1	1193
robot	1	752
robots	1	1194
rock	8	170, 419, 796, 1195, 1251, 1550, 1733, 1959
rocket	1	264
rocky	3	1196, 1197, 1199
roger	2	1200, 1951
rogue	1	1735
roll	1	1195
roman	2	1201, 1540
romance	2	1840, 1883
romancing	1	1202
romeo	3	1203, 1204, 1205
romy	1	1206
ronin	1	1207
ronique	1	1526
room	4	258, 944, 1090, 1208
rooms	1	608
ropes	1	68
rose	1	1767
rosso	1	1126
rotten	1	484
rouge	2	995, 996
rounders	1	1209
rover	1	1210
roxbury	1	41
roxy	1	1935
roy	1	1189
royale	1	338
rudy	1	1211
rudyard	1	1212
rugrats	1	1213
rumble	1	1214
run	7	326, 370, 1055, 1215, 1216, 1408, 1493
runaway	1	1217
runner	1	241
running	1	1306
rush	3	598, 1218, 1569
rushmore	1	1219
russian	1	1220
ruthless	1	1221
ryan	1	1240
ryans	1	1222
s	5	564, 1008, 1224, 1225, 1226
s1m0ne	1	1223
saagara	1	1227
sabbath	1	236
sabotage	1	1228
saddles	1	244
safe	1	567
safety	1	1229
saintly	1	43
saints	1	1477
sally	1	1947
salt	1	1231
salvador	1	1232
sam	2	747, 1380
samson	1	1233
samurai	2	1271, 1622
sand	1	738
sands	1	1234
sangamam	1	1227
santa	4	172, 1235, 1737, 1738
saturday	1	1237
save	1	1238
saving	1	1240
savior	1	1241
saw	2	1242, 1778
say	1	498
sayonara	1	1243
scarface	2	1244, 1245
scarlet	1	1246
scary	1	1248
scene	1	239
scent	1	1249
schindlers	1	1250
schmidt	1	55
schneemann	1	465
school	5	720, 1195, 1206, 1251, 1379
science	1	1934
scissorhands	1	535
scooby	1	1252
score	1	1739
scorpion	1	1740
scots	1	946
scoundrels	1	484
scream	2	1253, 1254
screamers	1	1255
sea	3	219, 787, 1741
seabiscuit	1	1256
search	1	1742
searchers	1	1743
searching	1	1257
seattle	1	1316
seconds	1	657
secret	3	1259, 1744, 1862
secrets	2	689, 1261
selena	1	1262
semi	1	1263
sense	2	1264, 1754
sensibility	1	1264
sergeant	1	1266
series	2	1054, 1480
serpico	1	1267
served	1	1985
set	1	466
seven	6	1268, 1269, 1270, 1271, 1322, 1650
seventh	1	1745
sex	2	1273, 1746
sexmission	1	1274
sexy	1	1275
shadow	2	1276, 1277
shaft	2	1278, 1279
shakespeare	1	1280
shallow	2	1281, 1282
shane	1	1284
shanghai	3	1285, 1287, 1288
shark	1	1289
sharp	1	197
shaun	1	1290
shawshank	1	1747
she	1	1291
shes	2	717, 1292
shine	1	1293
ship	1	1294
shock	1	1295
shoes	2	1725, 1748
sholay	1	1296
shoot	1	1823
shop	2	1749, 1750
short	2	1297, 1298
shot	2	45, 1651
show	5	1147, 1299, 1584, 1621, 1791
shrek	2	1301, 1302
shrinking	1	1602
shrooms	1	1303
shrunk	1	733
side	1	1692
siege	1	1901
sign	1	1745
silent	5	800, 1216, 1304, 1305, 1306
silkwood	1	1307
silver	1	1308
simple	1	246
sin	2	1083, 1752
sinbad	1	1424
singer	1	1800
sings	1	854
sirens	1	1309
sister	1	1310
sixteen	1	1311
sixth	2	1606, 1754
skeleton	1	1642
skulls	1	1755
sky	4	253, 584, 1312, 1909
slayer	1	303
sleep	1	1448
sleeper	1	1314
sleepers	1	1315
sleepless	1	1316
sleepy	1	1317
slickers	1	380
smell	1	1399
smile	1	981
smith	1	1003
smokey	1	1320
smoking	1	897
snake	1	1756
snaps	1	646
snatch	1	1321
snatchers	1	781
snow	1	1322
society	3	452, 721, 962
soldier	1	1323
soldiers	1	1933
something	2	1325, 1820
somethings	1	1326
sommersby	1	1327
son	2	1328, 1571
sonatine	1	1329
song	4	46, 1330, 1735, 1757
sons	1	1331
sorcerer	1	1332
soul	1	1333
soup	1	519
sources	1	939
south	1	1330
soylent	1	1335
space	4	904, 1062, 1336, 1337
spaceballs	1	1338
spartacus	1	1339
spartan	1	1340
speed	1	1342
spider	3	1345, 1346, 1347
spinal	1	1826
spirited	1	1348
splash	1	1349
splendored	1	907
spoil	1	1959
spongebob	1	1758
sporting	1	1827
spotless	1	554
spring	1	864
spy	1	1351
squarepants	1	1758
st	4	954, 1352, 1456, 1575
stable	1	399
stage	1	1353
stagecoach	1	1354
stalag	1	1355
stalingrad	1	1356
stand	1	1358
star	1	591
starfighter	1	1624
stargate	1	1359
starman	1	1360
starship	1	1361
starsky	1	1362
starting	1	1363
state	3	634, 700, 1422
steamboy	1	1364
steel	1	1365
stella	1	1366
sterile	1	1759
steve	1	1628
still	2	754, 1517
sting	1	1760
stitch	2	886, 1367
stock	1	897
stokers	1	273
stolen	1	1368
stone	2	693, 1202
stood	1	1517
stop	1	312
stopped	1	1604
story	14	24, 25, 1487, 1612, 1687, 1706, 1761, 1762, 1763, 1764, 1765, 1853, 1870, 1871
straight	2	1369, 1765
strange	2	1370, 1604
strangelove	1	508
stranger	2	911, 1371
strangers	1	1372
straw	1	1373
strawberries	1	1954
streak	2	254, 1308
street	5	193, 224, 1246, 1750, 1926
streets	2	952, 1374
strictly	1	1375
strike	1	800
stuff	1	1731
style	2	487, 1955
suburban	1	1376
success	2	1399, 1959
sucker	1	520
sudden	1	1377
suit	1	1653
sullivans	1	1378
summer	5	750, 754, 1379, 1380, 1938
sun	2	522, 543
sundance	1	314
sunday	1	140
sundowners	1	1766
sunrise	1	1382
sunset	3	66, 204, 1383
sunshine	1	554
super	2	1384, 1385
superman	3	1386, 1387, 1389
supremacy	1	1479
survival	1	1390
suspect	1	1391
suspects	1	1792
suspicion	1	1392
suspiria	1	1393
swati	1	1394
sweet	5	1395, 1396, 1397, 1398, 1399
sweethearts	1	114
swimfan	1	1400
swimming	1	1401
swingers	1	1402
swiss	1	1403
switch	1	43
switching	1	1404
sword	1	1767
syndrome	1	1497
t	6	509, 527, 564, 1225, 1772, 1991
ta	1	1326
tabu	1	1406
tadpole	1	1407
tail	1	116
take	1	1408
taking	2	1409, 1768
tale	2	33, 1289
talk	1	1770
talking	2	900, 901
tall	3	1771, 1772, 1925
tangled	1	1410
tap	1	1826
tape	2	521, 1411
taste	1	173
tate	1	892
taxi	2	1412, 1413
teahouse	1	1773
tears	2	992, 1469
teds	1	230
teen	1	1414
teenage	1	407
tell	1	499
ten	2	1774, 1802
tender	1	1415
tep	1	300
terminal	1	1775
terminator	1	1776
terrestrial	1	527
terror	1	1416
terrorist	1	1777
test	1	1150
testament	1	1417
texas	3	1093, 1778, 1779
than	1	1371
that	7	96, 97, 345, 1292, 1418, 1419, 1945
the	486	40, 41, 45, 49, 56, 66, 67, 68, 70, 79, 98, 133, 134, 147, 154, 164, 165, 166, 191, 196, 210, 213, 219, 282, 289, 303, 314, 325, 366, 389, 398, 399, 405, 418, 420, 434, 437, 442, 443, 445, 454, 488, 499, 509, 510, 522, 527, 543, 546, 554, 575, 576, 584, 588, 601, 602, 624, 689, 690, 691, 692, 693, 694, 715, 730, 732, 733, 767, 769, 770, 771, 772, 776, 781, 787, 797, 804, 810, 811, 854, 855, 859, 873, 911, 934, 957, 964, 988, 993, 1025, 1046, 1055, 1067, 1070, 1086, 1103, 1156, 1158, 1181, 1182, 1192, 1202, 1208, 1212, 1231, 1235, 1238, 1277, 1290, 1302, 1312, 1320, 1322, 1330, 1331, 1336, 1367, 1390, 1408, 1420, 1421, 1422, 1423, 1424, 1425, 1426, 1427, 1428, 1429, 1430, 1431, 1432, 1434, 1435, 1436, 1437, 1438, 1439, 1440, 1441, 1442, 1443, 1444, 1445, 1446, 1447, 1448, 1449, 1453, 1454, 1455, 1456, 1457, 1458, 1459, 1460, 1461, 1463, 1464, 1466, 1467, 1468, 1469, 1470, 1471, 1472, 1473, 1474, 1475, 1476, 1477, 1478, 1479, 1480, 1481, 1483, 1484, 1485, 1486, 1487, 1488, 1490, 1491, 1492, 1493, 1494, 1495, 1496, 1497, 1498, 1499, 1500, 1501, 1502, 1504, 1505, 1506, 1507, 1508, 1509, 1510, 1511, 1512, 1515, 1516, 1517, 1518, 1519, 1520, 1521, 1523, 1524, 1525, 1526, 1528, 1529, 1530, 1531, 1532, 1533, 1534, 1536, 1537, 1538, 1539, 1540, 1541, 1542, 1543, 1544, 1546, 1547, 1548, 1549, 1550, 1551, 1553, 1554, 1555, 1556, 1557, 1558, 1559, 1560, 1561, 1563, 1564, 1566, 1567, 1568, 1569, 1570, 1571, 1572, 1574, 1575, 1576, 1577, 1578, 1579, 1580, 1581, 1582, 1583, 1584, 1585, 1587, 1589, 1590, 1591, 1592, 1593, 1594, 1595, 1597, 1598, 1599, 1600, 1601, 1602, 1603, 1604, 1605, 1606, 1607, 1608, 1609, 1610, 1612, 1613, 1614, 1615, 1616, 1617, 1618, 1620, 1621, 1622, 1624, 1625, 1628, 1629, 1630, 1631, 1632, 1633, 1634, 1635, 1636, 1637, 1638, 1639, 1640, 1641, 1642, 1643, 1644, 1645, 1646, 1647, 1649, 1650, 1651, 1653, 1654, 1655, 1657, 1658, 1659, 1660, 1661, 1662, 1663, 1664, 1665, 1666, 1667, 1668, 1669, 1671, 1672, 1673, 1674, 1675, 1676, 1677, 1678, 1679, 1682, 1683, 1684, 1686, 1687, 1688, 1689, 1690, 1691, 1692, 1693, 1694, 1695, 1696, 1698, 1699, 1700, 1702, 1703, 1704, 1705, 1706, 1708, 1709, 1710, 1711, 1712, 1713, 1714, 1715, 1716, 1717, 1718, 1719, 1720, 1721, 1722, 1723, 1725, 1726, 1727, 1728, 1729, 1730, 1731, 1732, 1733, 1735, 1737, 1738, 1739, 1740, 1741, 1742, 1743, 1744, 1745, 1746, 1747, 1748, 1749, 1750, 1752, 1754, 1755, 1756, 1757, 1758, 1759, 1760, 1761, 1762, 1763, 1764, 1765, 1766, 1767, 1768, 1770, 1771, 1772, 1773, 1774, 1775, 1776, 1777, 1778, 1779, 1781, 1782, 1783, 1784, 1785, 1786, 1787, 1788, 1789, 1790, 1791, 1792, 1793, 1794, 1795, 1796, 1797, 1798, 1799, 1800, 1801, 1802, 1803, 1805, 1806, 1807, 1808, 1809, 1810, 1811, 1812, 1813, 1814, 1815, 1816, 1828, 1832, 1843, 1844, 1904, 1906, 1920, 1928, 1929, 1945, 1961, 1969, 1973, 1975, 1996
theatre	1	1817
their	2	34, 1829
thelma	1	1818
them	1	1819
theory	1	410
there	1	208
theres	1	1820
they	4	1821, 1822, 1823, 1824
thief	1	1849
thieves	2	79, 221
thin	2	48, 67
thing	5	488, 907, 1419, 1781, 1782
things	2	2, 1956
third	3	389, 1302, 1783
thirteen	1	1825
this	2	1826, 1827
thomas	1	1828
thornberrys	1	1806
those	2	765, 1829
thou	1	1057
thousand	1	134
threads	1	1830
three	7	35, 1076, 1768, 1831, 1832, 1833, 1834
thunder	2	448, 1836
thunderbirds	1	1837
thunderdome	1	922
tick	1	1999
ticker	1	1838
tides	1	1712
tiffanys	1	278
tiger	1	1238
tigger	1	1784
till	1	625
tillies	1	1840
time	7	772, 898, 1068, 1069, 1070, 1841, 1842
times	1	979
tintin	2	1843, 1844
titan	1	1845
titanic	1	1846
to	36	7, 35, 46, 49, 51, 62, 94, 164, 165, 166, 274, 398, 399, 401, 504, 592, 626, 686, 688, 755, 811, 869, 882, 1000, 1003, 1096, 1188, 1369, 1575, 1592, 1732, 1848, 1849, 1851, 1922, 1944
tokyo	3	468, 1852, 1853
tom	1	1854
tombstone	1	1855
tomcats	1	1856
tommy	1	1857
tomorrow	5	20, 215, 1312, 1516, 1858
tonight	1	909
too	2	21, 901
top	4	1208, 1860, 1861, 1862
topaz	1	1863
topkapi	1	1864
topsy	1	1865
tora	1	1866
total	1	1868
totoro	1	1019
touch	1	1869
tough	1	1263
towering	1	1785
town	3	270, 1000, 1770
toy	3	1786, 1870, 1871
toyland	1	160
tract	1	1416
tracy	1	474
trading	1	1872
traffic	2	708, 1873
train	3	1217, 1372, 1581
trainspotting	1	1875
tramp	1	855
translation	1	905
transporter	1	1787
trap	1	1696
travels	1	1378
treasure	2	1029, 1876
treatment	1	1295
tremors	1	1877
trespasser	1	1788
triad	1	1288
trilogy	1	1442
trinity	1	1821
trip	2	49, 592
triplets	1	1789
tron	1	1879
troopers	1	1361
trouble	3	229, 1790, 1880
troy	1	1881
true	2	1882, 1883
truly	1	1884
truman	1	1791
truth	1	1446
turvy	1	1865
tv	2	1054, 1480
twelve	2	1059, 1886
twentieth	1	1887
twenty	1	1888
twilight	1	1889
twist	1	1066
twister	1	1890
two	7	897, 1076, 1768, 1891, 1892, 1893, 1894
u	1	1897
ugly	1	1572
uhf	1	1896
ulees	1	1898
unbreakable	1	1899
uncle	1	1900
under	3	416, 1728, 1901
underworld	1	1902
unforgiven	1	1903
until	1	1904
up	3	290, 732, 1604
upon	3	1068, 1069, 1070
usual	1	1792
v	3	711, 712, 1526
vacation	2	809, 1028
vadis	1	1148
vagabond	1	1905
valance	1	1651
valiant	1	1906
valley	1	1793
vampire	2	303, 1277
vampyr	1	1907
van	1	1908
vanilla	1	1909
vanishing	1	1794
varrick	1	361
vegas	3	870, 1550, 1917
veil	1	1475
velvet	1	1911
vengeance	1	478
vep	1	783
verdict	1	1795
verdoux	1	982
versus	1	804
vertigo	1	1912
victor	1	1914
victoria	1	1914
victory	1	286
vietnam	1	661
view	1	1695
viii	1	1715
villa	1	879
village	1	1796
virtuosity	1	1916
viva	3	1550, 1917, 1918
volcano	2	804, 1919
volume	2	826, 827
von	1	1469
voyage	2	1424, 1639
voyager	1	1053
vs	4	89, 616, 835, 843
w	1	1225
wag	1	1920
wages	1	1797
wait	2	327, 704
waiting	2	1921, 1922
waking	1	1923
wales	1	1693
walk	1	51
walker	1	1924
walking	1	1925
wall	1	1926
wanda	1	27
want	2	755, 1942
war	2	695, 1928
wargames	1	1927
warrior	1	1421
was	1	1946
washington	1	1003
watch	1	1929
water	1	1078
waterboy	1	1798
waterfront	1	1067
waterworld	1	1930
way	3	332, 655, 762
waynes	1	1932
we	1	1933
weapon	3	876, 877, 878
wear	1	451
wedding	6	113, 1010, 1012, 1013, 1799, 1800
weeds	1	596
weekend	1	1643
weeks	1	1894
weeping	1	1764
wees	1	1102
weird	1	1934
welcome	1	1935
well	1	1448
were	2	1824, 1933
werewolf	2	117, 118
wes	1	1936
west	2	1070, 1957
wet	2	1226, 1938
whale	1	1939
whales	1	1801
what	5	750, 754, 1940, 1941, 1942
whats	3	1943, 1944, 1945
when	3	1946, 1947, 1948
where	2	751, 1057
which	1	765
whisperer	1	1594
white	7	234, 688, 1322, 1582, 1653, 1949, 1950
who	4	510, 1604, 1651, 1951
whole	1	1802
whos	2	900, 901
wicker	2	1803, 1952
wide	1	1953
wife	1	1468
wild	9	1213, 1325, 1805, 1806, 1954, 1955, 1956, 1957, 1958
will	3	419, 662, 1959
willow	1	1960
willy	2	617, 1961
wimbledon	1	1962
wind	2	39, 1807
window	2	1169, 1259
windtalkers	1	1964
wings	3	1808, 1965, 1966
with	12	130, 435, 478, 595, 879, 911, 1182, 1628, 1654, 1790, 1944, 1968
within	1	1969
without	2	1170, 1971
witness	2	1972, 1973
wives	2	35, 745
wizard	2	1809, 1810
wolf	2	1414, 1811
wolves	1	435
woman	7	37, 52, 154, 717, 1249, 1948, 1975
women	4	509, 894, 943, 1942
wonderful	1	790
wonderland	2	84, 85
wonka	1	1961
wood	1	532
woods	1	1969
word	2	498, 1906
work	2	247, 485
working	1	1977
world	8	147, 413, 438, 1312, 1782, 1812, 1904, 1932
worlds	1	1928
worst	1	1945
wounds	1	563
wrath	1	70
wrong	1	1291
x	3	110, 930, 1813
x2	1	1978
xxx	2	237, 1979
yards	2	1802, 1814
year	3	863, 1016, 1815
yearling	1	1816
years	1	1457
yesterday	1	1077
yodha	1	1981
yojimbo	1	1982
york	6	553, 633, 714, 837, 1036, 1266
you	8	2, 344, 520, 750, 754, 1419, 1984, 1985
young	6	284, 1987, 1989, 1990, 1991, 1992
your	3	334, 1079, 1151
youth	1	1395
youve	1	1993
zapata	1	1918
zero	1	1391
zhivago	1	490
ziegfeld	1	1583
zissou	1	1628
zola	1	1630
zombi	1	1995
zombies	1	1604
zone	1	1518
zorba	1	1996
zorro	3	1658, 1659, 1661
zulu	2	1997, 1998
